Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Fast, Hon. Ed",Abbotsford,Conservative,103485.36,7316.9,466.98,15146.14
"Beech, Terry",Burnaby North—Seymour,Liberal,91744.03,6050,427.71,42116.98
"Singh, Jagmeet",Burnaby South,New Democratic Party,105684.09,33815.09,1102.1,37887.32
"Doherty, Todd",Cariboo—Prince George,Conservative,115531.55,20999.2,153.76,11671.46
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,103691.35,7159.3,121.25,25679.59
"Strahl, Mark",Chilliwack—Hope,Conservative,113280.02,7239.23,359.88,15016.52
"Jansen, Tamara",Cloverdale—Langley City,Conservative,100210.06,18740.44,0,30692.55
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,124071.34,454.3,360.87,25234.59
"Johns, Gord",Courtenay—Alberni,New Democratic Party,92839.87,7423.89,48.96,39692.97
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,117930.16,4947,84.86,25696
"Qualtrough, Hon. Carla",Delta,Liberal,59512.28,5203.76,10.56,22712.32
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,95261.41,4006.53,0,22960.29
"Hardie, Ken",Fleetwood—Port Kells,Liberal,93493.92,16979.65,0,24562.4
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,92941.05,4313.51,0,20500.92
"Gray, Tracy",Kelowna—Lake Country,Conservative,93633.32,12336.28,106.55,35746.33
"Morrison, Rob",Kootenay—Columbia,Conservative,116049.03,13346.35,0,11068.43
"Van Popta, Tako",Langley—Aldergrove,Conservative,99133.62,21411.58,402.92,22561.09
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,105620.94,15640.08,176.16,33655.82
"Manly, Paul",Nanaimo—Ladysmith,Green Party,105343.18,4950,17.46,24817.88
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,97006.19,9282.84,629.76,37387.67
"Blaney, Rachel",North Island—Powell River,New Democratic Party,99335.51,4359.41,4.79,29773.68
"Arnold, Mel",North Okanagan—Shuswap,Conservative,98255.28,4591.88,0,20656.11
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,81416.38,9788.38,0,32286.65
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,99596.24,12714.11,112.81,33975.06
"Shin, Nelly",Port Moody—Coquitlam,Conservative,39210.28,16693.54,0,27808.55
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,104482.62,22155.86,428.69,44969.98
"Wong, Hon. Alice",Richmond Centre,Conservative,93512.75,4261.24,99.04,44838.45
"May, Elizabeth",Saanich—Gulf Islands,Green Party,96296.82,13555.71,0,43687.74
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,98795.2,3426.88,0,31235.99
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,92692,3570,0,17416.12
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,92297.78,15871.49,265.48,21364.88
"Hogg, Gordie",South Surrey—White Rock,Liberal,0,0,0,455.4
"Chiu, Kenny",Steveston—Richmond East,Conservative,67470.44,10915.7,784.66,43979.93
"Sarai, Randeep",Surrey Centre,Liberal,80379.62,4400,141.02,25936.86
"Dhaliwal, Sukh",Surrey—Newton,Liberal,68710.49,8078.56,214.47,56041.39
"Battiste, Jaime",Sydney—Victoria,Liberal,111800.81,3506.69,423.94,27508.89
"Fry, Hon. Hedy",Vancouver Centre,Liberal,76857.68,6739.83,2043.06,61072.6
"Kwan, Jenny",Vancouver East,New Democratic Party,101783.86,7328.26,0,48599.05
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,72133.23,10881.6,0,27007.12
"Davies, Don",Vancouver Kingsway,New Democratic Party,78579.68,8923.27,195.79,43044.5
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,72806.23,15930.47,18.87,24923.48
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,76760.07,10674.53,425.84,36698.95
"Collins, Laurel",Victoria,New Democratic Party,96713.47,7215.94,20.08,34295.93
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,111952.6,15766.05,0,46995.34
